	UF	televisao por assinatura	televisao com recepcao de sinal digital de tv abertaa	V02270	rede celular 3G ou 4G	conexao discada	banda larga	rendimento mensal domiciliar per capita
730	23	3.0	3.0	1	2.0	4.0	2.0	3.0
733	23	3.0	3.0	1	4.0	4.0	2.0	4.0
738	23	3.0	3.0	1	2.0	4.0	4.0	3.0
740	23	3.0	3.0	1	2.0	4.0	4.0	5.0
744	23	3.0	1.0	1	2.0	4.0	4.0	3.0
745	23	3.0	3.0	0	4.0	4.0	2.0	3.0
749	23	1.0	1.0	1	2.0	4.0	2.0	5.0
751	23	3.0	1.0	1	2.0	4.0	4.0	4.0
753	23	3.0	1.0	1	4.0	4.0	2.0	7.0
754	23	3.0	1.0	1	4.0	4.0	2.0	6.0
760	23	3.0	3.0	1	4.0	4.0	2.0	6.0
761	23	3.0	1.0	1	4.0	4.0	2.0	3.0
764	23	3.0	1.0	1	4.0	4.0	2.0	6.0
765	23	3.0	3.0	0	4.0	4.0	2.0	2.0
771	23	1.0	3.0	0	2.0	4.0	2.0	4.0
775	23	3.0	3.0	0	4.0	4.0	2.0	4.0
778	23	1.0	3.0	1	4.0	4.0	2.0	2.0
781	23	3.0	1.0	1	2.0	4.0	4.0	3.0
782	23	3.0	3.0	0	2.0	4.0	4.0	4.0
783	23	3.0	1.0	1	4.0	4.0	2.0	4.0
784	23	3.0	3.0	1	2.0	4.0	4.0	4.0
788	23	1.0	3.0	0	4.0	4.0	2.0	3.0
789	23	1.0	3.0	0	2.0	4.0	4.0	4.0
790	23	3.0	3.0	0	2.0	4.0	4.0	3.0
796	23	1.0	3.0	1	4.0	4.0	2.0	5.0
797	23	1.0	1.0	1	4.0	4.0	2.0	6.0
798	23	1.0	5.0	1	4.0	4.0	2.0	4.0
799	23	3.0	3.0	1	4.0	4.0	2.0	4.0
800	23	1.0	1.0	1	2.0	4.0	2.0	7.0
805	23	3.0	1.0	1	4.0	4.0	2.0	4.0
806	23	1.0	1.0	1	4.0	4.0	2.0	4.0
807	23	3.0	1.0	0	2.0	4.0	4.0	2.0
808	23	3.0	1.0	1	2.0	4.0	4.0	2.0
811	23	1.0	3.0	0	4.0	4.0	2.0	4.0
815	23	3.0	3.0	0	4.0	4.0	2.0	3.0
818	23	3.0	1.0	0	4.0	4.0	2.0	2.0
820	23	3.0	1.0	0	2.0	4.0	4.0	3.0
822	23	3.0	3.0	1	4.0	4.0	2.0	3.0
826	23	3.0	3.0	1	2.0	4.0	4.0	3.0
828	23	1.0	5.0	1	4.0	4.0	2.0	6.0
830	23	3.0	1.0	1	4.0	4.0	2.0	4.0
831	23	3.0	3.0	0	2.0	4.0	4.0	2.0
836	23	1.0	1.0	1	4.0	4.0	2.0	4.0
839	23	1.0	3.0	0	4.0	4.0	2.0	2.0
846	23	3.0	3.0	0	2.0	4.0	4.0	3.0
849	23	3.0	3.0	0	2.0	4.0	4.0	4.0
853	23	3.0	3.0	1	2.0	4.0	4.0	3.0
857	23	3.0	1.0	0	2.0	4.0	4.0	4.0
858	23	1.0	1.0	1	2.0	4.0	2.0	3.0
859	23	3.0	1.0	0	2.0	4.0	4.0	3.0
861	23	3.0	1.0	1	2.0	4.0	4.0	1.0
862	23	3.0	1.0	1	2.0	4.0	2.0	3.0
866	23	3.0	1.0	0	2.0	4.0	4.0	2.0
867	23	3.0	1.0	1	2.0	4.0	4.0	2.0
869	23	3.0	3.0	1	2.0	4.0	4.0	2.0
873	23	3.0	1.0	1	2.0	4.0	2.0	2.0
874	23	3.0	1.0	1	2.0	4.0	4.0	1.0
876	23	1.0	1.0	1	4.0	4.0	2.0	3.0
878	23	1.0	3.0	1	2.0	4.0	4.0	3.0
885	23	3.0	3.0	1	4.0	4.0	2.0	3.0
888	23	3.0	1.0	1	2.0	4.0	4.0	3.0
893	23	3.0	3.0	1	2.0	4.0	4.0	5.0
894	23	3.0	3.0	0	2.0	4.0	4.0	3.0
897	23	3.0	3.0	0	2.0	4.0	4.0	5.0
901	23	3.0	3.0	0	4.0	4.0	2.0	7.0
904	23	3.0	5.0	0	2.0	4.0	2.0	6.0
909	23	3.0	5.0	1	2.0	4.0	2.0	2.0
910	23	3.0	5.0	2	2.0	4.0	2.0	5.0
911	23	3.0	5.0	0	2.0	4.0	4.0	3.0
912	23	3.0	1.0	1	2.0	4.0	2.0	3.0
914	23	3.0	1.0	1	4.0	4.0	2.0	3.0
931	23	3.0	3.0	0	4.0	4.0	2.0	4.0
933	23	3.0	3.0	0	4.0	4.0	2.0	4.0
936	23	3.0	3.0	1	2.0	4.0	4.0	2.0
938	23	3.0	3.0	1	2.0	4.0	4.0	4.0
939	23	3.0	3.0	0	4.0	4.0	2.0	7.0
940	23	3.0	3.0	0	2.0	4.0	4.0	2.0
951	23	3.0	3.0	1	4.0	4.0	2.0	6.0
952	23	3.0	5.0	1	4.0	4.0	2.0	5.0
953	23	1.0	5.0	1	4.0	4.0	2.0	4.0
986	23	3.0	3.0	0	4.0	2.0	4.0	4.0
989	23	3.0	1.0	2	4.0	4.0	2.0	3.0
990	23	3.0	3.0	1	2.0	2.0	2.0	3.0
991	23	3.0	3.0	0	2.0	4.0	4.0	5.0
992	23	3.0	3.0	0	2.0	4.0	4.0	4.0
993	23	3.0	3.0	0	2.0	4.0	2.0	6.0
997	23	1.0	1.0	1	2.0	2.0	2.0	5.0
998	23	1.0	3.0	1	4.0	4.0	2.0	2.0
999	23	3.0	1.0	0	2.0	2.0	4.0	4.0
1000	23	1.0	1.0	1	2.0	4.0	2.0	4.0
1002	23	1.0	1.0	1	2.0	4.0	2.0	4.0
1004	23	3.0	3.0	0	2.0	4.0	2.0	3.0
1005	23	1.0	1.0	1	4.0	4.0	2.0	4.0
1006	23	3.0	3.0	1	4.0	4.0	2.0	4.0
1007	23	3.0	3.0	0	2.0	4.0	2.0	5.0
1012	23	1.0	1.0	1	2.0	2.0	4.0	4.0
1013	23	3.0	3.0	1	2.0	4.0	4.0	4.0
1018	23	3.0	1.0	1	2.0	4.0	4.0	4.0
1019	23	1.0	1.0	1	2.0	2.0	4.0	3.0
1023	23	3.0	3.0	1	2.0	4.0	4.0	4.0
1024	23	3.0	3.0	1	2.0	4.0	2.0	4.0
